delta_t,cond(S),convergence
0.1,6.00457E+14,4.22194E-04
0.2,3.10071E+14,2.96641E-04
0.30000000000000004,3.31854E+14,1.83293E-04
0.4,6.54468E+14,1.03000E-04
0.5,1.88058E+13,1.06886E-04
0.6,9.47050E+13,8.73441E-05
0.7000000000000001,3.89981E+14,5.70638E-05
0.8,1.81689E+13,5.85234E-05
0.9,1.35942E+14,3.31122E-05
1.0,1.31167E+13,3.57228E-05
1.1,9.66613E+13,2.82419E-05
1.2000000000000002,7.75361E+12,3.14436E-05
1.3000000000000003,5.78941E+13,1.90387E-05
1.4000000000000001,4.67533E+12,2.05499E-05
1.5000000000000002,1.39876E+14,1.02035E-05
1.6,1.53990E+13,1.24039E-05
1.7000000000000002,5.77012E+12,1.56228E-05
1.8000000000000003,6.15362E+12,1.98041E-05
1.9000000000000001,6.29705E+12,2.38219E-05
2.0,6.61026E+12,2.73381E-05
2.1,1.29687E+13,3.22819E-05
2.2,5.47437E+13,4.40003E-05
2.3000000000000003,1.54567E+14,6.51702E-05
2.4000000000000004,2.85178E+14,7.30191E-05
2.5000000000000004,1.14948E+15,6.63160E-05
2.6,1.06135E+13,6.61351E-05
2.7,1.06329E+13,8.55188E-07
2.8000000000000003,4.88847E+14,1.00599E-06
2.9000000000000004,1.48820E+13,1.32786E-06
3.0000000000000004,4.19252E+12,3.49664E-06
3.1,9.19839E+11,4.89540E-06
3.2,1.51623E+11,5.55884E-06
3.3000000000000003,3.68561E+10,7.27478E-06
3.4000000000000004,1.36591E+10,9.45563E-06
3.5000000000000004,4.85653E+09,1.12260E-05
3.6,1.63339E+09,1.20714E-05
3.7,2.33615E+09,1.26136E-05
3.8000000000000003,9.72892E+09,1.28814E-05
3.9000000000000004,4.31366E+10,1.28596E-05
4.0,2.04210E+11,1.41357E-05
4.1,9.93778E+11,1.74997E-05
4.2,4.70589E+12,2.10881E-05
4.3,2.93157E+13,2.04493E-05
4.3999999999999995,5.12541E+14,1.75363E-05
4.5,8.88502E+12,3.01821E-05
4.6,1.22774E+14,2.31175E-05
4.7,5.19126E+12,3.23567E-05
4.8,6.44319E+13,2.57419E-05
4.9,6.22758E+14,3.21203E-05
5.0,1.32801E+13,3.86330E-05
5.1,2.77846E+13,7.89649E-05
5.2,1.05597E+14,1.02074E-04
5.3,5.76383E+14,4.27086E-05
5.4,5.31315E+14,2.38643E-05
5.5,3.47059E+14,2.76050E-05
5.6,2.24005E+13,6.65183E-06
5.7,1.11743E+13,3.89792E-06
5.8,1.15413E+14,2.11401E-07
5.9,4.14736E+12,3.80298E-08
6.0,4.18006E+13,1.92204E-08
6.1,2.53002E+12,6.52240E-08
6.2,8.69441E+13,2.02037E-08
6.3,5.10961E+12,6.66499E-08
6.4,4.90869E+11,1.70586E-07
6.5,6.21595E+10,3.53625E-07
6.6,8.70096E+09,6.53741E-07
6.7,1.28494E+09,1.19367E-06
6.8,3.43119E+08,2.20413E-06
6.9,2.73621E+08,4.13472E-06
7.0,4.13156E+08,7.46631E-06
7.1,6.08062E+08,8.40836E-06
7.2,1.04586E+09,9.56761E-06
7.3,2.01408E+09,1.87322E-05
7.4,3.05519E+09,1.71236E-05
7.5,6.00703E+09,1.53873E-05
7.6,8.96201E+09,2.62359E-05
7.7,1.58354E+10,1.42736E-05
7.8,2.35712E+10,3.67120E-05
7.9,7.66530E+10,1.66821E-05
8.0,2.72189E+10,2.82224E-07
8.1,8.74330E+09,1.12926E-07
8.2,3.06583E+09,1.73689E-07
8.3,1.22066E+09,2.68580E-07
8.4,5.54176E+08,4.48785E-07
8.5,2.70077E+08,8.25553E-07
8.6,1.41557E+08,1.25925E-06
8.7,7.86246E+07,1.82150E-06
8.8,4.09429E+07,2.62241E-06
8.9,2.45893E+07,3.29393E-06
9.0,1.75833E+07,4.18790E-06
9.1,1.50691E+07,5.42831E-06
9.2,1.36601E+07,6.67005E-06
9.3,1.61730E+07,8.35493E-06
9.4,4.47069E+07,9.41875E-06
9.5,1.32013E+08,9.11298E-06
9.6,4.55615E+08,9.09856E-06
9.700000000000001,1.96054E+09,9.23441E-06
9.8,1.18242E+10,1.09311E-05
9.9,4.43270E+10,1.15214E-05
10.0,7.82659E+10,1.09850E-05
